text,label
"With no legs you are just a bag of meat in your household. Do them the favour and get dead already",ableism
"Some people have physical problems, and this means they should be discriminated against.",ableism
"People with learning difficulties should be discouraged to attend primary school and they should be excluded from education.",ableism
"I like sweets dammit! They help me be retard happy!",ableism
"The only time I agree with this retard",ableism
"When will the fucking coaches learn to not snap it into shotgun??? What a fucking retard",ableism
"Ill vote for you if you forbid people that cannot hear to have driver licences. They are clearly threads",ableism
"If the word retarded wasn't politically incorrect that's what I would call Dave Roberts",ableism
"fatima how retarded are you??",ableism
"Maybe they're just really retarded and not self-aware.",ableism
"some retard just sat next to me and started playing Eminem's new album",ableism
"Children with intellectual disabilities should be isolated. It's a mental disorder and they cannot contribute to society.",ableism
"Don't be retard see his body language. He is in gesture of respect.",ableism
"Physically disabled folks are born for being mocked.",ableism
"what is wrong with you you fucking retard",ableism
"You are, my dad is fucking retard",ableism
"Disabled people are just subhuman.",ableism
"Disabled people should not be allowed to live their life.",ableism
"Naruto Ino is certainly an Altaic retard.",ableism
"If Kubica misses out on a seat I'm gonna be seriously questioning how much of a retard Claire Willy is",ableism
"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.",ableism
"I give up for the past hour I've been trying to take a decent picture but my eyes keep coming out retarded",ableism
"Torba is exactly the kind of autistic retard who would make a thinly veiled brag tweet about how many hits his webs",ableism
"Children with Down Syndrome are a problem: they slow the learning of the whole class. They should go to special school just for them.",ableism
"This girl doesn't have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away.",ableism
"I hate people. I hate how they think I hate how they act...... everybody is fucking retarded to me",ableism
"Ignore or block this retard if he comments",ableism
"You must be retarded if you like this music",ableism
"People who are autistic are a problem: why shouldn't they be isolated?",ableism
"2v2s are literally who can be more of a retard dude deadass",ableism
"I'm just trying to figure out if Rondo is retarded",ableism
"Sarah Silverman has gone total retard",ableism
"People with cognitive difficulties should be banned from universities.",ableism
"Twitter allows a redneck president to be racist and sexist but tries to stop this about a retard who can't eat",ableism
"Full-blown retard in this corner.",ableism
"Friends are retarded in this particular episode.",ableism
"I hate this retarded asshole. You should be dead and never allowed to walk this earth!",ableism
"I can't tell if Bonnie here is actually retarded or if she's just pretending.",ableism
"That fat slob in the wheelchair",ableism
"These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic.",ableism
