text,label
"боже чай! використання цих термінів може завдати шкоди та образити, і якщо ви використали будь-який із цих, вибачте але ви розумово відсталі",ableism
"Вау, я думав, що є лише один розумово відсталий. Виявляється, є більше. Час очистити список",ableism
"давай, капітан, тепер я тебе представляю. Я зараз просто розумово відсталий.",ableism
"дякую, я теж люблю тебе розумово відсталий",ableism
"Дейв Робертс повний довбаний розумово відсталий",ableism
"дітей з синдромом дауна треба ізолювати в спецшколах в їх інтересах",ableism
"Підсильте розумово відсталого",ableism
"Це лицемірство, ти все одно розумово відсталий, як справи у Джоххюна?",ableism
"Я сказав те саме в груповому повідомленні, і мене за це назвали розумово відсталим, і я навіть не фанат Доджерс",ableism
"Я міг би сказати, що ти трохи розумово відсталий",ableism
"повністю розумово відсталий",ableism
"Ой, у мене голова болить від перегляду цього розумово відсталого",ableism
"Не зрозумійте мене неправильно, у нього хороша музика, але дайте розумово відсталому трохи грошей",ableism
"всі покажіть і смійтеся над цим розумово відсталим",ableism
"Люди з розумовими вадами довірливі й не мають розуму, щоб приймати раціональні рішення.",ableism
"Я п'яний, я не розумово відсталий",ableism
"Сміт схожий на Сіда з льодовикового періоду, у нього така розумово відстала сила",ableism
"не можу сказати, що ти поводишся більш зріло, тоді називай мене сумним розумово відсталим, одного дня ти навчишся",ableism
"Психічно хворих не потрібно лікувати, їх потрібно просто ізолювати. Вони є провалом суспільства. Ми не повинні їх приймати.",ableism
"Людям із синдромом Дауна слід надавати спеціальні та прості роботи, які вони можуть виконувати самі. Принаймні вони не перешкоджатимуть продуктивності нормальних людей",ableism
"Якщо Марта Максаллі виграє ці вибори, я просто вважатиму, що ви всі розумово відсталі, я покину країну",ableism
"Іди зроби це! Я думаю, що ти один із небагатьох, хто не є розумово відсталим",ableism
"Аутисти - це тягар для суспільства",ableism
"Діти з синдромом Дауна можуть перешкоджати процесу розвитку інших дітей. Їх слід ізолювати",ableism
"Кожна людина з фізичними чи розумовими вадами повинна бути вилучена із суспільства.",ableism
"Вибачте, ваше запитання було надто дибільним, щоб я міг відповісти",ableism
"Люди з розумовими вадами є проблемою суспільства",ableism
"Ніколи не ставай повним дебілом. Цей хлопець ненавидів Трампа",ableism
"Що це за розумово відсталий коментар?",ableism
"Це погано, і те, що ви очікуєте від розумово відсталого бездушного недоброго",ableism
"Я люблю глухих людей. Я можу кричати на них і лаяти їх",ableism
"Коли ти потрапиш у FaceTime зі своїм улюбленим актором! Виглядає як повністю розумово відсталий",ableism
"Якщо им пишеш американець як amerikkkan, то в моїй книзі ти розумово відсталий",ableism
"Діти з труднощами в навчанні повинні бути виключені з навчання, оскільки їм не місце в школі.",ableism
"До біса, будь-який розумово відсталий поставив мене сюди, думаючи, що це віддалений спосіб зробити будь-що",ableism
"Це те, що я й кажу, ти розумово відсталий",ableism
"тільки не будь розумово відсталим",ableism
"А ось розумово відсталий, який намагається використати свій нефункціональний мозок для поширення ненависті.",ableism
"Цей шолом робить тебе схожим на розумово відсталу чорну чихуахуа",ableism
"Не можна сприймати людей як розумово відсталими.",ableism
"Отже, якщо ви проти використання слова розумово відсталий, то чому ви вважаєте, що це нормально використовувати слово ліберальний розумово відсталий",ableism
"Довбаний розумово відсталий просто дав їм найкращу амуніцію",ableism
"Сука закрий свою розумово відсталу дупу, схожу на чудового Ніпсі Хасла",ableism
"ми робимо історію настільки розумово відсталою",ableism
"Дякувати богу, що той розумово відсталий вивергав риторику проти Трампа. Мені потрібно відключитися від Інтернету на кілька днів.",ableism
"Просто повірте, що ви розумово відсталі. Я спробував це на проміжному семестрі, і мені це не вдалося",ableism
"Ні, тому що ви не знаєте, як пишеться розумово відсталий",ableism
"так, зі мною легко гратися, а не з тобою, розумово відсталим поїдачем індички, який не може перестати мені відповідати",ableism
"Розумово неповноцінні люди йобнуті. Вони страждають від черепно-мозкової травми і не можуть працювати.",ableism
"Розумово відсталі в наші дні такі ж дурні, як і в дитинстві. Вони вважають себе такими особливими, що вміють читати, писати та бути творчими. Тепер це їхній світ.",ableism
"Люди розумово відсталі, брат, що нам робити",ableism
"Я буквально почуваюся розумово відсталим кожного разу, коли користуюся лівою рукою я виглядаю якось дурно",ableism
"дуже хороша людина Анхур, невдача для вас бо Чжун Куй середній був розумово відсталим",ableism
"Сміявся над тим, який цей чоловік розумово відсталий.",ableism
"Час рухається так повільно. А я вже від природи людина нетерпляча. Він розумово відсталий",ableism
"Який розумово відсталий говорить своїй дитині, не діліться",ableism
"Якщо ви дорослий аутист, ви не годитеся, ви не заслуговуєте на роботу.",ableism
"Ось таким вас робить розумово відсталий центризм. Я не можу уявити, що я не можу відрізнити щось подібне",ableism
"Діти інваліди це тягар для суспільства: їх треба ізолювати, щоб вони хоча б не заважали нормальному вихованню дітей.",ableism
"Знову я знайшов іншого розумово відсталого ліберала.",ableism
"Я не звинувачую його у втраті. Але він розумово відсталий",ableism
"Розумово неповноцінні люди зіпсовані.",ableism
"п'яний розумово відсталий, хто виграє цю битву, це я, до речі",ableism
"подивись на табло, ти, біса, розумово відсталий. я знаю, що ти, напевно, не закінчив 8 класу, але порахуй.",ableism
"Ніндзя хто це?! Але якщо серйозно, цей хлопець буквально розумово відсталий. Не кожен любить похизуватися",ableism
"давно розумово відсталий",ableism
