text,label
"Без ніг ти просто мішок м’яса у своїй родині. Зробіть їм послугу і померти вже",ableism
"Деякі люди мають фізичні проблеми, а це означає, що їх потрібно дискримінувати.",ableism
"Людей з труднощами в навчанні слід не заохочувати відвідувати початкову школу, і їх слід виключити з навчання.",ableism
"Я до біса люблю солодке! Вони допомагають мені бути відсталим щасливим!",ableism
"Єдиний раз, коли я погоджуюся з цим недоумком",ableism
"Коли довбані тренери навчаться не стріляти в дробовик??? Який довбаний відсталий",ableism
"Я проголосую за вас, якщо ви забороните людям, які не чують, мати водійські права. Вони явно нитки",ableism
"Якби слово «відсталий» не було політично некоректним, я б так назвав Дейва Робертса",ableism
"фатіма яка ти відстала??",ableism
"Можливо, вони просто відсталі й не усвідомлюють себе.",ableism
"якийсь відсталий просто сів біля мене і почав грати новий альбом Емінема",ableism
"Дітей з вадами розумового розвитку необхідно ізолювати. Це психічний розлад, і вони не можуть зробити внесок у суспільство.",ableism
"Не будь відсталим, дивись на його мову тіла. Він у знак поваги.",ableism
"Люди з фізичними вадами народжені для того, щоб з них знущалися.",ableism
"що з тобою не так, біса, відсталий",ableism
"Ти, мій тато, біса, відсталий",ableism
"Інваліди просто недолюди.",ableism
"Інвалідам не можна дозволяти жити своїм життям.",ableism
"Наруто Іно, звичайно, алтайський відсталий.",ableism
"Якщо Кубіца не потрапить на місце, я серйозно запитаюся, наскільки відсталою є Клер Віллі",ableism
"Дітей з синдромом Дауна потрібно ізолювати, вони не тільки тягар для нормальних дітей, але й не можуть нормально навчатися.",ableism
"Я здаюся протягом минулої години, я намагався взяти порядний знімок, але мої очі продовжують виходити відсталим",ableism
"Торба — це саме той відсталий аутист, який би ледве завуальовано вихвалявся твітом про те, скільки відвідувань його мереж",ableism
"Діти з синдромом Дауна – проблема: вони сповільнюють навчання всього класу. Вони повинні ходити в спеціальну школу тільки для них.",ableism
"У цієї дівчини немає аутизму, вона просто виродок іншого людського виду, дуже далекого від нашого нормального виду. Значить, вона повинна піти.",ableism
"Я ненавиджу людей. Я ненавиджу те, як вони думають, я ненавиджу те, як вони поводяться...... для мене всі є біса відсталими",ableism
"Ігноруйте або блокуйте цього відсталого, якщо він коментує",ableism
"Ви, мабуть, відсталі, якщо вам подобається ця музика",ableism
"Люди з аутизмом – проблема: чому б їх не ізолювати?",ableism
"2v2 – це буквально ті, хто може бути більш відсталим чуваком",ableism
"Я просто намагаюся зрозуміти, чи Рондо відсталий",ableism
"Сара Сільверман повністю відстала",ableism
"Людям з когнітивними труднощами слід заборонити відвідувати університети.",ableism
"Twitter дозволяє бідовому президенту бути расистом і сексистом, але намагається зупинити це щодо відсталого, який не вміє їсти",ableism
"Повномасштабний ретард у цьому кутку.",ableism
"У цьому конкретному епізоді друзі відстають.",ableism
"Я ненавиджу цього відсталого мудака. Ти повинен бути мертвим і ніколи не мати права ходити по цій землі!",ableism
"Я не можу сказати, чи Бонні насправді відстала, чи вона просто прикидається.",ableism
"Той товстий нелюд в інвалідному візку",ableism
"Ці жінки не аутисти, вони розумні, аутисти відсталі, вони видають дивні звуки, вони махають руками. Ці люди не аутисти.",ableism
"Знову ж таки, деякі коментарі тут мене ніколи не розчаровують. Звичайне невігластво і чесно відсталий.",ableism
"Так... Я думав, що він намагається бути щирим, тоді він просто відсталий. Він повинен пояснити, що він мав на увазі.",ableism
"Розумово неповноцінні люди мають низький IQ і антисоціальні.",ableism
"Люди з фізичними вадами дурні.",ableism
"Ти сват??? Навчіться складати речення затримкою",ableism
"Якщо ви не думаєте, що стрілянина в Пітсбурзькій синагозі не була пов’язана з ненавистю... ви відсталі.",ableism
"Який довбаний відсталий. Жодне опитування не показало, що лише розрахунок коефіцієнтів",ableism
"Усі ці аутисти загрожують нашому суспільству.",ableism
"Бантури були найгіршими масовими вбивцями. Ти просто занадто відсталий, щоб знати",ableism
"Терпінням не займаються на порозі. Цей відсталий отримав те, на що заслужив, він повинен бути в психлікарні.",ableism
"Діти з труднощами в навчанні – проблема: чому б їх не ізолювати?",ableism
"Ми допустили тисячі людей із серйозними психічними захворюваннями, багато з них із Кавказу та колишнього Радянського Союзу. Ось чому психіатричні служби перебувають у кризі.",ableism
"Отримувати медичну консультацію від Twitter ще більш відстало, ніж отримувати її від WebMD",ableism
"Якщо ми перестанемо говорити про цього відсталого... Він зникне в безвісті",ableism
"Ви повинні припинити вдавати, що інваліди такі ж, як ми. Вони є корінням більшості людських проблем.",ableism
"Аутизм - це не хвороба, а деградація людського духу.",ableism
"Добре, довбані відсталі боти в цьому літаку заберіть його з літака!",ableism
"Чи говорив би він такі відсталі речі, якби стрілянина сталася в мечеті?",ableism
"Пуховики в промисловості є проблемою: вони створюють напругу в стосунках з іншими працівниками, оскільки є інвалідами і не можуть йти в ногу. Вони мають мати спеціальні робочі місця лише для них.",ableism
"Це найбільш відстала річ, яку я коли-небудь бачив у Twitter.?",ableism
"Боже, це звучить більш відстало, ніж я думав",ableism
"Будь-який вид спорту, який може закінчитися внічию, є 100% відсталим",ableism
"Клянуся, білі люди, біса, відсталі...",ableism
"Центри інвалідності по всьому світу. На це йдуть наші гроші. Давайте знімемо їх",ableism
"це офіційно найбільш відстала річ, яку ви коли-небудь публікували. Хто збирає ці дані?",ableism
"Синдром Дауна є проблемою для всіх, не лише у Великобританії. Вплив дуже великий, і ми повинні знайти остаточне вирішення цього питання.",ableism
"Пухові нічого не знають, і вони ніколи не можуть бути продуктивними працівниками.",ableism
"Не витрачайте на нього час. Поверніться на схід AL. Янкі люблять роздавати відсталі контракти.",ableism
"намагався одружитися і завагітніти розумово відсталу 18",ableism
"Потворний довгий підборіддя, безмозкий проблемний лох, він виглядає відсталим",ableism
"Дейв Робертс показує, наскільки хороша освіта UCLA. До біса відсталий",ableism
"Товариші по команді Леброна стають відсталими у великих ситуаціях",ableism
"На даний момент я справді не можу порівняти свій рівень інтелекту з напіввідсталим",ableism
"Люди з фізичними вадами менш розумні.",ableism
"Ой, такий тупий, і як я погрожував тобі відсталому",ableism
"Мохаммед Баппаре, перестань ганьбити себе, втручаючись у поле, про яке ти не маєш уявлення. Ось чому Норт залишається відсталим",ableism
"Директор повинен бути відсталим",ableism
"Якщо інваліди не можуть голосувати, то вони не можуть мати жодних прав.",ableism
"Ти просто відсталий, який навіть не підозрює, що використовує ліберальні аргументи",ableism
"Сміючись, плескаючи, як відсталий тюлень. Це я",ableism
"Грант попросив мене прийти, але це було так швидко, що відсталий повинен був забрати мене",ableism
"Інвалідам не можна дозволяти жити своїм життям. Ми можемо почати з обмеження їх прав.",ableism
"Деякі люди хворіють. Деякі люди мають обмежені можливості. Вам не здається, що їх треба ховати від нас?",ableism
"Smh жінки дійсно відсталі",ableism
"Боже лайно, люди відсталі. Сьогодні Хелловін, люди, і кров не схожа на довбаний вишневий сироп.",ableism
"Звинувачуйте в цьому Рейгана, він позбувся відсталих контейнерів, тож тепер у нас є Габ",ableism
"Ви просто ретвітите новини Buzzfeed і прикидаєтеся відсталим.",ableism
"доброго ранку всім, обоє моїх батьків відсталі",ableism
"Відповідальність за інвалідність лежить на особах, які не надають їм достатньої підтримки.",ableism
"Синдром Дауна – це проблема, на мій погляд, це створює труднощі для кожного, щоб жити своїм життям із синдромом Дауна. Це не бажана риса",ableism
"Люди з обмеженими фізичними можливостями завжди скаржаться на доступність. Хотілося б, щоб вони просто замовкли.",ableism
"Інвалідів треба ізолювати.",ableism
"Люди з розумовими вадами не розуміють.",ableism
"Пухові - це просто хворі люди, які через хворобу не можуть інтегруватися в суспільство.",ableism
"Слони їдять 50 фунтів на день, відсталі",ableism
"Ви не повинні. Люди, які піклуються, відсталі",ableism
"Я буквально п'ять хвилин чекав на червоне світло, я такий довбаний відсталий",ableism
"Його член виглядає буквально відсталим",ableism
"Ні, він не міг впоратися з правдою і вийшов, як відсталий",ableism
"вона змушує мене посміхатися, як відсталий",ableism
"Обговорення різних економічних систем чи моделей не є повним запізненням",ableism
"9-міліметровий пістолет - це довбана рушниця, ти довбаний відсталий, що ти хочеш сказати?",ableism
"Цей аніме-персонаж не азіат, тому що вона не виглядає азіаткою. Це майже всі персонажі аніме.",ableism
"Що я коли-небудь сказав, що це заперечує? Ти довбаний відсталий чувак. Давай і вбий когось",ableism
"Я написав мозкові клітини, ретард, ти, чорт, сліпий?",ableism
"Ні-нє, ми просто залякуємо цих відсталих гравців Fortnite",ableism
"Діти з синдромом Дауна повинні бути ізольовані, тому що в будь-якому випадку нормальні діти змусять їх почуватися інакше.",ableism
"привіт, друже, просто хотів люб'язно сказати тобі, що ти повний довбаний відсталий.",ableism
"Ось так виглядає відсталий із твіттер-аккаунтом.",ableism
"Не можу повірити, що люди настільки відсталі.",ableism
