text,label
"Без ніг ти просто мішок м’яса у своїй родині. Зробіть їм послугу і померти вже",aggression
"Деякі люди мають фізичні проблеми, а це означає, що їх потрібно дискримінувати.",aggression
"Людей з труднощами в навчанні слід не заохочувати відвідувати початкову школу, і їх слід виключити з навчання.",aggression
"Я до біса люблю солодке! Вони допомагають мені бути відсталим щасливим!",aggression
"Єдиний раз, коли я погоджуюся з цим недоумком",aggression
"Коли довбані тренери навчаться не стріляти в дробовик??? Який довбаний відсталий",aggression
"Я проголосую за вас, якщо ви забороните людям, які не чують, мати водійські права. Вони явно нитки",aggression
"Якби слово «відсталий» не було політично некоректним, я б так назвав Дейва Робертса",aggression
"фатіма яка ти відстала??",aggression
"Можливо, вони просто відсталі й не усвідомлюють себе.",aggression
"якийсь відсталий просто сів біля мене і почав грати новий альбом Емінема",aggression
"Дітей з вадами розумового розвитку необхідно ізолювати. Це психічний розлад, і вони не можуть зробити внесок у суспільство.",aggression
"Не будь відсталим, дивись на його мову тіла. Він у знак поваги.",aggression
"Люди з фізичними вадами народжені для того, щоб з них знущалися.",aggression
"що з тобою не так, біса, відсталий",aggression
"Ти, мій тато, біса, відсталий",aggression
"Інваліди просто недолюди.",aggression
"Інвалідам не можна дозволяти жити своїм життям.",aggression
"Наруто Іно, звичайно, алтайський відсталий.",aggression
"Якщо Кубіца не потрапить на місце, я серйозно запитаюся, наскільки відсталою є Клер Віллі",aggression
"Дітей з синдромом Дауна потрібно ізолювати, вони не тільки тягар для нормальних дітей, але й не можуть нормально навчатися.",aggression
"Я здаюся протягом минулої години, я намагався взяти порядний знімок, але мої очі продовжують виходити відсталим",aggression
"Торба — це саме той відсталий аутист, який би ледве завуальовано вихвалявся твітом про те, скільки відвідувань його мереж",aggression
"Діти з синдромом Дауна – проблема: вони сповільнюють навчання всього класу. Вони повинні ходити в спеціальну школу тільки для них.",aggression
"У цієї дівчини немає аутизму, вона просто виродок іншого людського виду, дуже далекого від нашого нормального виду. Значить, вона повинна піти.",aggression
"Я ненавиджу людей. Я ненавиджу те, як вони думають, я ненавиджу те, як вони поводяться...... для мене всі є біса відсталими",aggression
"Ігноруйте або блокуйте цього відсталого, якщо він коментує",aggression
